dataset	model	baseline	TP	FP	TN	FN	Precision	Recall	F1	Coverage	Acc@Cov	Overall_Acc	Decision_Acc
bamboogle	qwen-qwen3-32b	ensemble_idk_pairwise_incremental	89	7	16	11	0.9270833333333334	0.89	0.9081632653061226	0.21951219512195122	0.5925925925925926	0.13008130081300814	0.8536585365853658
bamboogle	qwen-qwen3-32b	ensemble_ays_idk_pairwise_assistive	90	10	13	10	0.9	0.9	0.9	0.18699186991869918	0.5652173913043478	0.10569105691056911	0.8373983739837398
bamboogle	qwen-qwen3-32b	ensemble_ays_idk_pairwise_incremental	91	10	13	9	0.900990099009901	0.91	0.9054726368159204	0.17886178861788618	0.5909090909090909	0.10569105691056911	0.8455284552845529
bamboogle	qwen-qwen3-32b	ensemble_ays_idk_pairwise_both	95	10	13	5	0.9047619047619048	0.95	0.9268292682926829	0.14634146341463414	0.7222222222222222	0.10569105691056911	0.8780487804878049
bamboogle	qwen-qwen3-8b	ays	64	4	11	44	0.9411764705882353	0.5925925925925926	0.7272727272727272	0.44715447154471544	0.2	0.08943089430894309	0.6097560975609756
bamboogle	qwen-qwen3-8b	idk	47	3	12	61	0.94	0.4351851851851852	0.5949367088607594	0.5934959349593496	0.1643835616438356	0.0975609756097561	0.4796747967479675
bamboogle	qwen-qwen3-8b	pairwise_assistive	97	4	11	11	0.9603960396039604	0.8981481481481481	0.9282296650717703	0.17886178861788618	0.5	0.08943089430894309	0.8780487804878049
bamboogle	qwen-qwen3-8b	pairwise_incremental	72	1	14	36	0.9863013698630136	0.6666666666666666	0.7955801104972376	0.4065040650406504	0.28	0.11382113821138211	0.6991869918699187
bamboogle	qwen-qwen3-8b	pairwise_model_generated	96	2	13	12	0.9795918367346939	0.8888888888888888	0.9320388349514563	0.2032520325203252	0.52	0.10569105691056911	0.8861788617886179
bamboogle	qwen-qwen3-8b	self_consistency	11	1	14	97	0.9166666666666666	0.10185185185185185	0.18333333333333332	0.9024390243902439	0.12612612612612611	0.11382113821138211	0.2032520325203252
bamboogle	qwen-qwen3-8b	ensemble_pairwise_both	103	4	11	5	0.9626168224299065	0.9537037037037037	0.958139534883721	0.13008130081300814	0.6875	0.08943089430894309	0.926829268292683
bamboogle	qwen-qwen3-8b	ensemble_ays_pairwise_assistive	101	5	10	7	0.9528301886792453	0.9351851851851852	0.9439252336448598	0.13821138211382114	0.5882352941176471	0.08130081300813008	0.9024390243902439
bamboogle	qwen-qwen3-8b	ensemble_ays_pairwise_incremental	92	5	10	16	0.9484536082474226	0.8518518518518519	0.8975609756097561	0.21138211382113822	0.38461538461538464	0.08130081300813008	0.8292682926829268
bamboogle	qwen-qwen3-8b	ensemble_idk_pairwise_assistive	100	5	10	8	0.9523809523809523	0.9259259259259259	0.9389671361502347	0.14634146341463414	0.5555555555555556	0.08130081300813008	0.8943089430894309
bamboogle	qwen-qwen3-8b	ensemble_idk_pairwise_incremental	91	4	11	17	0.9578947368421052	0.8425925925925926	0.896551724137931	0.22764227642276422	0.39285714285714285	0.08943089430894309	0.8292682926829268
bamboogle	qwen-qwen3-8b	ensemble_ays_idk_pairwise_assistive	101	6	9	7	0.9439252336448598	0.9351851851851852	0.9395348837209302	0.13008130081300814	0.5625	0.07317073170731707	0.8943089430894309
bamboogle	qwen-qwen3-8b	ensemble_ays_idk_pairwise_incremental	99	6	9	9	0.9428571428571428	0.9166666666666666	0.9295774647887323	0.14634146341463414	0.5	0.07317073170731707	0.8780487804878049
bamboogle	qwen-qwen3-8b	ensemble_ays_idk_pairwise_both	105	6	9	3	0.9459459459459459	0.9722222222222222	0.9589041095890412	0.0975609756097561	0.75	0.07317073170731707	0.926829268292683
crag	google-gemini-2-5-flash	ays	39	7	94	19	0.8478260869565217	0.6724137931034483	0.75	0.710691823899371	0.831858407079646	0.5911949685534591	0.8364779874213837
crag	google-gemini-2-5-flash	ic_idk	16	9	92	42	0.64	0.27586206896551724	0.3855421686746988	0.8427672955974843	0.6865671641791045	0.5786163522012578	0.6792452830188679
crag	google-gemini-2-5-flash	pairwise_assistive	33	10	94	25	0.7674418604651163	0.5689655172413793	0.6534653465346535	0.7345679012345679	0.7899159663865546	0.5802469135802469	0.7839506172839507
crag	google-gemini-2-5-flash	pairwise_incremental	33	12	92	25	0.7333333333333333	0.5689655172413793	0.6407766990291263	0.7222222222222222	0.7863247863247863	0.5679012345679012	0.7716049382716049
